参数1,日期,开盘价,卖出价,最高价,最低价,收盘价
0,2022/8/29,0.00001181,0.00001246 ,0.00001255,0.00001169,0.00001248
44,2022/8/30,0.00001247,0.00001316 ,0.00001277,0.00001191,0.00001220
1,2022/8/31,0.00001219,0.00001286 ,0.00001259,0.00001201,0.00001210
22,2022/9/1,0.00001210,0.00001277 ,0.00001245,0.00001187,0.00001227
18260,2022/9/2,0.00001226,0.00001293 ,0.00001249,0.00001201,0.00001217
726,2022/9/3,0.00001217,0.00001284 ,0.00001247,0.00001210,0.00001232
638,2022/9/4,0.00001231,0.00001299 ,0.00001340,0.00001226,0.00001285
374,2022/9/5,0.00001284,0.00001355 ,0.00001296,0.00001222,0.00001264
132,2022/9/6,0.00001264,0.00001334 ,0.00001292,0.00001172,0.00001201
660,2022/9/7,0.00001201,0.00001267 ,0.00001239,0.00001174,0.00001225
308,2022/9/8,0.00001225,0.00001292 ,0.00001250,0.00001198,0.00001221
44,2022/9/9,0.00001222,0.00001289 ,0.00001395,0.00001220,0.00001290
22,2022/9/10,0.00001291,0.00001362 ,0.00001358,0.00001270,0.00001326
110,2022/9/11,0.00001325,0.00001398 ,0.00001350,0.00001250,0.00001300
22,2022/9/12,0.00001299,0.00001370 ,0.00001325,0.00001250,0.00001287
44,2022/9/13,0.00001287,0.00001358 ,0.00001306,0.00001190,0.00001210
0,2022/9/14,0.00001209,0.00001275 ,0.00001245,0.00001193,0.00001220
1,2022/9/15,0.00001219,0.00001286 ,0.00001225,0.00001149,0.00001170
880,2022/9/16,0.00001171,0.00001235 ,0.00001181,0.00001127,0.00001156
2398,2022/9/17,0.00001157,0.00001221 ,0.00001201,0.00001156,0.00001194
352,2022/9/18,0.00001193,0.00001259 ,0.00001197,0.00001000,0.00001062
286,2022/9/19,0.00001062,0.00001120 ,0.00001112,0.00001050,0.00001098
178,2022/9/20,0.00001099,0.00001159 ,0.00001104,0.00001046,0.00001052
66,2022/9/21,0.00001052,0.00001110 ,0.00001113,0.00001011,0.00001038
22,2022/9/22,0.00001038,0.00001095 ,0.00001095,0.00001033,0.00001085
44,2022/9/23,0.00001085,0.00001145 ,0.00001135,0.00001050,0.00001107
67,2022/9/24,0.00001107,0.00001168 ,0.00001219,0.00001095,0.00001125
0,2022/9/25,0.00001125,0.00001187 ,0.00001156,0.00001086,0.00001102
22,2022/9/26,0.00001101,0.00001162 ,0.00001124,0.00001078,0.00001111
154,2022/9/27,0.00001112,0.00001173 ,0.00001157,0.00001084,0.00001111
110,2022/9/28,0.00001112,0.00001173 ,0.00001156,0.00001071,0.00001109
44,2022/9/29,0.00001109,0.00001170 ,0.00001123,0.00001090,0.00001112
45,2022/9/30,0.00001112,0.00001173 ,0.00001150,0.00001102,0.00001131
0,2022/10/1,0.00001131,0.00001193 ,0.00001148,0.00001108,0.00001117
0,2022/10/2,0.00001118,0.00001179 ,0.00001122,0.00001077,0.00001094
23,2022/10/3,0.00001095,0.00001155 ,0.00001125,0.00001083,0.00001117
22,2022/10/4,0.00001118,0.00001179 ,0.00001171,0.00001109,0.00001161
0,2022/10/5,0.00001161,0.00001225 ,0.00001178,0.00001113,0.00001144
1,2022/10/6,0.00001145,0.00001208 ,0.00001162,0.00001110,0.00001118
1,2022/10/7,0.00001119,0.00001181 ,0.00001124,0.00001090,0.00001110
66,2022/10/8,0.00001109,0.00001170 ,0.00001115,0.00001082,0.00001099
2,2022/10/9,0.00001100,0.00001161 ,0.00001110,0.00001095,0.00001103
23,2022/10/10,0.00001103,0.00001164 ,0.00001112,0.00000991,0.00001022
1,2022/10/11,0.00001023,0.00001079 ,0.00001042,0.00000971,0.00001025
23,2022/10/12,0.00001025,0.00001081 ,0.00001041,0.00001006,0.00001017
44,2022/10/13,0.00001017,0.00001073 ,0.00001081,0.00000924,0.00001038
23,2022/10/14,0.00001038,0.00001095 ,0.00001075,0.00001000,0.00001018
44,2022/10/15,0.00001018,0.00001074 ,0.00001052,0.00001001,0.00001022
44,2022/10/16,0.00001022,0.00001078 ,0.00001038,0.00001017,0.00001027
22,2022/10/17,0.00001028,0.00001085 ,0.00001047,0.00001021,0.00001039
22,2022/10/18,0.00001039,0.00001096 ,0.00001050,0.00000997,0.00001016
0,2022/10/19,0.00001016,0.00001072 ,0.00001019,0.00000950,0.00000986
0,2022/10/20,0.00000985,0.00001039 ,0.00001014,0.00000979,0.00000990
0,2022/10/21,0.00000991,0.00001046 ,0.00001006,0.00000959,0.00001001
1,2022/10/22,0.00001001,0.00001056 ,0.00001008,0.00000991,0.00000999
22,2022/10/23,0.00001000,0.00001055 ,0.00001019,0.00000985,0.00001016
22,2022/10/24,0.00001016,0.00001072 ,0.00001019,0.00000984,0.00000993
0,2022/10/25,0.00000993,0.00001048 ,0.00001041,0.00000983,0.00001021
1,2022/10/26,0.00001022,0.00001078 ,0.00001088,0.00001018,0.00001078
44,2022/10/27,0.00001078,0.00001137 ,0.00001184,0.00001057,0.00001063
1,2022/10/28,0.00001064,0.00001123 ,0.00001222,0.00001031,0.00001171
22,2022/10/29,0.00001172,0.00001236 ,0.00001519,0.00001153,0.00001291
22,2022/10/30,0.00001291,0.00001362 ,0.00001393,0.00001158,0.00001192
0,2022/10/31,0.00001191,0.00001257 ,0.00001318,0.00001170,0.00001245
24,2022/11/1,0.00001244,0.00001312 ,0.00001353,0.00001226,0.00001285
0,2022/11/2,0.00001284,0.00001355 ,0.00001298,0.00001150,0.00001176
0,2022/11/3,0.00001177,0.00001242 ,0.00001239,0.00001161,0.00001175
0,2022/11/4,0.00001174,0.00001239 ,0.00001366,0.00001157,0.00001251
0,2022/11/5,0.00001251,0.00001320 ,0.00001319,0.00001213,0.00001245
0,2022/11/6,0.00001245,0.00001313 ,0.00001290,0.00001175,0.00001184
1,2022/11/7,0.00001184,0.00001249 ,0.00001211,0.00001150,0.00001179
22,2022/11/8,0.00001179,0.00001244 ,0.00001190,0.00000930,0.00001017
0,2022/11/9,0.00001018,0.00001074 ,0.00001030,0.00000829,0.00000874
22,2022/11/10,0.00000874,0.00000922 ,0.00001055,0.00000861,0.00001022
0,2022/11/11,0.00001021,0.00001077 ,0.00001047,0.00000938,0.00000990
1,2022/11/12,0.00000990,0.00001044 ,0.00000994,0.00000928,0.00000958
22,2022/11/13,0.00000957,0.00001010 ,0.00000975,0.00000888,0.00000901
0,2022/11/14,0.00000901,0.00000951 ,0.00000940,0.00000855,0.00000909
86,2022/11/15,0.00000909,0.00000959 ,0.00000958,0.00000899,0.00000927
23,2022/11/16,0.00000927,0.00000978 ,0.00000967,0.00000896,0.00000914
572,2022/11/17,0.00000914,0.00000964 ,0.00000922,0.00000891,0.00000905
220,2022/11/18,0.00000905,0.00000955 ,0.00000926,0.00000898,0.00000910
154,2022/11/19,0.00000911,0.00000961 ,0.00000924,0.00000894,0.00000915
0,2022/11/20,0.00000915,0.00000965 ,0.00000924,0.00000868,0.00000879
110,2022/11/21,0.00000878,0.00000926 ,0.00000879,0.00000823,0.00000842
88,2022/11/22,0.00000843,0.00000889 ,0.00000884,0.00000817,0.00000881
44,2022/11/23,0.00000882,0.00000931 ,0.00000913,0.00000875,0.00000905
0,2022/11/24,0.00000906,0.00000956 ,0.00000920,0.00000889,0.00000902
66,2022/11/25,0.00000902,0.00000952 ,0.00000947,0.00000885,0.00000919
22,2022/11/26,0.00000918,0.00000968 ,0.00000937,0.00000892,0.00000901
67,2022/11/27,0.00000901,0.00000951 ,0.00000964,0.00000900,0.00000928
44,2022/11/28,0.00000928,0.00000979 ,0.00000938,0.00000875,0.00000908
53,2022/11/29,0.00000909,0.00000959 ,0.00000931,0.00000900,0.00000907
68,2022/11/30,0.00000907,0.00000957 ,0.00000940,0.00000902,0.00000935
92,2022/12/1,0.00000935,0.00000986 ,0.00000938,0.00000911,0.00000921
184,2022/12/2,0.00000920,0.00000971 ,0.00000936,0.00000907,0.00000933
230,2022/12/3,0.00000934,0.00000985 ,0.00000949,0.00000915,0.00000919
134,2022/12/4,0.00000919,0.00000970 ,0.00000939,0.00000918,0.00000935
142,2022/12/5,0.00000936,0.00000987 ,0.00001016,0.00000925,0.00000942
6,2022/12/6,0.00000942,0.00000994 ,0.00000946,0.00000920,0.00000931
46,2022/12/7,0.00000931,0.00000982 ,0.00000936,0.00000894,0.00000910
88,2022/12/8,0.00000910,0.00000960 ,0.00000933,0.00000905,0.00000927
2,2022/12/9,0.00000927,0.00000978 ,0.00000936,0.00000915,0.00000921
0,2022/12/10,0.00000922,0.00000973 ,0.00000930,0.00000915,0.00000918
44,2022/12/11,0.00000918,0.00000968 ,0.00000929,0.00000906,0.00000910
352,2022/12/12,0.00000911,0.00000961 ,0.00000911,0.00000840,0.00000897
132,2022/12/13,0.00000897,0.00000946 ,0.00000935,0.00000861,0.00000917
220,2022/12/14,0.00000918,0.00000968 ,0.00000927,0.00000886,0.00000895
176,2022/12/15,0.00000894,0.00000943 ,0.00000900,0.00000874,0.00000886
88,2022/12/16,0.00000887,0.00000936 ,0.00000901,0.00000801,0.00000818
132,2022/12/17,0.00000819,0.00000864 ,0.00000837,0.00000800,0.00000829
66,2022/12/18,0.00000830,0.00000876 ,0.00000910,0.00000820,0.00000855
22,2022/12/19,0.00000855,0.00000902 ,0.00000878,0.00000793,0.00000814
44,2022/12/20,0.00000815,0.00000860 ,0.00000850,0.00000814,0.00000846
66,2022/12/21,0.00000846,0.00000893 ,0.00000849,0.00000817,0.00000825
0,2022/12/22,0.00000825,0.00000870 ,0.00000844,0.00000817,0.00000835
44,2022/12/23,0.00000835,0.00000881 ,0.00000842,0.00000820,0.00000827
22,2022/12/24,0.00000826,0.00000871 ,0.00000835,0.00000823,0.00000832
22,2022/12/25,0.00000833,0.00000879 ,0.00000839,0.00000819,0.00000829
66,2022/12/26,0.00000828,0.00000874 ,0.00000835,0.00000825,0.00000832
186,2022/12/27,0.00000832,0.00000878 ,0.00000836,0.00000803,0.00000819
353,2022/12/28,0.00000820,0.00000865 ,0.00000820,0.00000778,0.00000792
111,2022/12/29,0.00000793,0.00000837 ,0.00000830,0.00000788,0.00000820
66,2022/12/30,0.00000820,0.00000865 ,0.00000823,0.00000791,0.00000805
68,2022/12/31,0.00000806,0.00000850 ,0.00000819,0.00000801,0.00000808
89,2023/1/1,0.00000808,0.00000852 ,0.00000814,0.00000800,0.00000812
22,2023/1/2,0.00000813,0.00000858 ,0.00000826,0.00000802,0.00000819
22,2023/1/3,0.00000819,0.00000864 ,0.00000822,0.00000805,0.00000815
0,2023/1/4,0.00000815,0.00000860 ,0.00000852,0.00000812,0.00000837
66,2023/1/5,0.00000837,0.00000883 ,0.00000881,0.00000828,0.00000836
23,2023/1/6,0.00000837,0.00000883 ,0.00000848,0.00000817,0.00000844
0,2023/1/7,0.00000844,0.00000890 ,0.00000871,0.00000837,0.00000842
2728,2023/1/8,0.00000842,0.00000888 ,0.00000869,0.00000832,0.00000865
462,2023/1/9,0.00000865,0.00000913 ,0.00000920,0.00000857,0.00000868
110,2023/1/10,0.00000868,0.00000916 ,0.00000967,0.00000854,0.00000927
66,2023/1/11,0.00000926,0.00000977 ,0.00000927,0.00000865,0.00000913
88,2023/1/12,0.00000912,0.00000962 ,0.00000968,0.00000882,0.00000947
22,2023/1/13,0.00000946,0.00000998 ,0.00001028,0.00000928,0.00001020
22,2023/1/14,0.00001021,0.00001077 ,0.00001111,0.00000957,0.00001039
66,2023/1/15,0.00001039,0.00001096 ,0.00001100,0.00000980,0.00001067
374,2023/1/16,0.00001066,0.00001125 ,0.00001104,0.00001007,0.00001052
2289,2023/1/17,0.00001053,0.00001111 ,0.00001082,0.00001025,0.00001055
2046,2023/1/18,0.00001055,0.00001113 ,0.00001294,0.00001052,0.00001117
3586,2023/1/19,0.00001116,0.00001177 ,0.00001179,0.00001080,0.00001154
1034,2023/1/20,0.00001155,0.00001219 ,0.00001242,0.00001133,0.00001223
661,2023/1/21,0.00001222,0.00001289 ,0.00001250,0.00001175,0.00001186
669,2023/1/22,0.00001186,0.00001251 ,0.00001250,0.00001154,0.00001200
617,2023/1/23,0.00001200,0.00001266 ,0.00001220,0.00001179,0.00001199
200,2023/1/24,0.00001200,0.00001266 ,0.00001220,0.00001086,0.00001119
133,2023/1/25,0.00001119,0.00001181 ,0.00001195,0.00001086,0.00001163
111,2023/1/26,0.00001163,0.00001227 ,0.00001188,0.00001137,0.00001162
25,2023/1/27,0.00001161,0.00001225 ,0.00001188,0.00001129,0.00001173
440,2023/1/28,0.00001172,0.00001236 ,0.00001233,0.00001164,0.00001182
2068,2023/1/29,0.00001182,0.00001247 ,0.00001216,0.00001174,0.00001207
572,2023/1/30,0.00001207,0.00001273 ,0.00001214,0.00001112,0.00001152
551,2023/1/31,0.00001151,0.00001214 ,0.00001199,0.00001144,0.00001181
308,2023/2/1,0.00001182,0.00001247 ,0.00001206,0.00001130,0.00001197
374,2023/2/2,0.00001197,0.00001263 ,0.00001300,0.00001191,0.00001214
243,2023/2/3,0.00001213,0.00001280 ,0.00001292,0.00001205,0.00001272
902,2023/2/4,0.00001272,0.00001342 ,0.00001575,0.00001270,0.00001470
771,2023/2/5,0.00001469,0.00001550 ,0.00001535,0.00001393,0.00001430
242,2023/2/6,0.00001430,0.00001509 ,0.00001484,0.00001392,0.00001407
528,2023/2/7,0.00001408,0.00001485 ,0.00001449,0.00001375,0.00001439
462,2023/2/8,0.00001438,0.00001517 ,0.00001455,0.00001350,0.00001375
374,2023/2/9,0.00001375,0.00001451 ,0.00001384,0.00001170,0.00001216
308,2023/2/10,0.00001215,0.00001282 ,0.00001332,0.00001209,0.00001287
176,2023/2/11,0.00001287,0.00001358 ,0.00001310,0.00001238,0.00001291
22,2023/2/12,0.00001290,0.00001361 ,0.00001353,0.00001256,0.00001283
990,2023/2/13,0.00001283,0.00001354 ,0.00001307,0.00001198,0.00001247
132,2023/2/14,0.00001247,0.00001316 ,0.00001284,0.00001205,0.00001275
89,2023/2/15,0.00001276,0.00001346 ,0.00001388,0.00001254,0.00001375
66,2023/2/16,0.00001376,0.00001452 ,0.00001399,0.00001256,0.00001269
88,2023/2/17,0.00001270,0.00001340 ,0.00001336,0.00001262,0.00001317
66,2023/2/18,0.00001316,0.00001388 ,0.00001341,0.00001303,0.00001319
106,2023/2/19,0.00001319,0.00001392 ,0.00001400,0.00001309,0.00001332
1300,2023/2/20,0.00001333,0.00001406 ,0.00001378,0.00001302,0.00001349
748,2023/2/21,0.00001350,0.00001424 ,0.00001362,0.00001283,0.00001306
682,2023/2/22,0.00001306,0.00001378 ,0.00001317,0.00001253,0.00001315
1650,2023/2/23,0.00001315,0.00001387 ,0.00001367,0.00001293,0.00001313
638,2023/2/24,0.00001314,0.00001386 ,0.00001323,0.00001220,0.00001255
242,2023/2/25,0.00001254,0.00001323 ,0.00001264,0.00001198,0.00001240
220,2023/2/26,0.00001240,0.00001308 ,0.00001318,0.00001232,0.00001284
1056,2023/2/27,0.00001284,0.00001355 ,0.00001288,0.00001233,0.00001251
3279,2023/2/28,0.00001252,0.00001321 ,0.00001255,0.00001195,0.00001202
616,2023/3/1,0.00001201,0.00001267 ,0.00001243,0.00001191,0.00001226
418,2023/3/2,0.00001225,0.00001292 ,0.00001230,0.00001173,0.00001206
154,2023/3/3,0.00001206,0.00001272 ,0.00001207,0.00001089,0.00001139
198,2023/3/4,0.00001139,0.00001202 ,0.00001146,0.00001077,0.00001113
176,2023/3/5,0.00001112,0.00001173 ,0.00001131,0.00001100,0.00001109
88,2023/3/6,0.00001110,0.00001171 ,0.00001123,0.00001086,0.00001115
177,2023/3/7,0.00001115,0.00001176 ,0.00001130,0.00001060,0.00001112
110,2023/3/8,0.00001112,0.00001173 ,0.00001169,0.00001072,0.00001093
132,2023/3/9,0.00001094,0.00001154 ,0.00001115,0.00000982,0.00001008
132,2023/3/10,0.00001007,0.00001062 ,0.00001036,0.00000965,0.00001028
44,2023/3/11,0.00001027,0.00001083 ,0.00001052,0.00000987,0.00001029
2244,2023/3/12,0.00001029,0.00001086 ,0.00001082,0.00001001,0.00001073
5192,2023/3/13,0.00001073,0.00001132 ,0.00001120,0.00001038,0.00001103
6996,2023/3/14,0.00001103,0.00001164 ,0.00001186,0.00001082,0.00001126
2398,2023/3/15,0.00001125,0.00001187 ,0.00001142,0.00001015,0.00001038
1694,2023/3/16,0.00001039,0.00001096 ,0.00001060,0.00001019,0.00001050
2134,2023/3/17,0.00001050,0.00001108 ,0.00001120,0.00001041,0.00001113
2816,2023/3/18,0.00001113,0.00001174 ,0.00001137,0.00001061,0.00001071
1914,2023/3/19,0.00001071,0.00001130 ,0.00001115,0.00001068,0.00001091
594,2023/3/20,0.00001091,0.00001151 ,0.00001102,0.00001034,0.00001044
220,2023/3/21,0.00001044,0.00001101 ,0.00001110,0.00001028,0.00001093
462,2023/3/22,0.00001093,0.00001153 ,0.00001105,0.00001022,0.00001058
198,2023/3/23,0.00001057,0.00001115 ,0.00001095,0.00001053,0.00001084
154,2023/3/24,0.00001084,0.00001144 ,0.00001088,0.00001035,0.00001061
88,2023/3/25,0.00001061,0.00001119 ,0.00001071,0.00001036,0.00001051
88,2023/3/26,0.00001050,0.00001108 ,0.00001069,0.00001047,0.00001061
110,2023/3/27,0.00001062,0.00001120 ,0.00001099,0.00001017,0.00001041
44,2023/3/28,0.00001041,0.00001098 ,0.00001051,0.00001026,0.00001045
66,2023/3/29,0.00001045,0.00001102 ,0.00001087,0.00001043,0.00001068
66,2023/3/30,0.00001068,0.00001127 ,0.00001080,0.00001038,0.00001057
110,2023/3/31,0.00001057,0.00001115 ,0.00001096,0.00001047,0.00001083
45,2023/4/1,0.00001083,0.00001143 ,0.00001153,0.00001068,0.00001118
198,2023/4/2,0.00001117,0.00001178 ,0.00001149,0.00001069,0.00001078
132,2023/4/3,0.00001078,0.00001137 ,0.00001165,0.00001049,0.00001123
154,2023/4/4,0.00001123,0.00001185 ,0.00001159,0.00001106,0.00001123
66,2023/4/5,0.00001122,0.00001184 ,0.00001148,0.00001102,0.00001123
132,2023/4/6,0.00001123,0.00001185 ,0.00001125,0.00001084,0.00001095
3278,2023/4/7,0.00001096,0.00001156 ,0.00001101,0.00001080,0.00001093
4070,2023/4/8,0.00001092,0.00001152 ,0.00001107,0.00001077,0.00001086
4158,2023/4/9,0.00001085,0.00001145 ,0.00001101,0.00001080,0.00001096
7656,2023/4/10,0.00001096,0.00001156 ,0.00001116,0.00001085,0.00001113
4466,2023/4/11,0.00001112,0.00001173 ,0.00001119,0.00001101,0.00001104
1760,2023/4/12,0.00001103,0.00001164 ,0.00001108,0.00001058,0.00001096
418,2023/4/13,0.00001096,0.00001156 ,0.00001123,0.00001089,0.00001110
661,2023/4/14,0.00001109,0.00001170 ,0.00001149,0.00001096,0.00001124
396,2023/4/15,0.00001125,0.00001187 ,0.00001160,0.00001105,0.00001156
638,2023/4/16,0.00001155,0.00001219 ,0.00001188,0.00001140,0.00001157
1937,2023/4/17,0.00001157,0.00001221 ,0.00001171,0.00001118,0.00001137
507,2023/4/18,0.00001136,0.00001198 ,0.00001172,0.00001124,0.00001157
419,2023/4/19,0.00001157,0.00001221 ,0.00001160,0.00001060,0.00001083
198,2023/4/20,0.00001082,0.00001142 ,0.00001102,0.00001035,0.00001059
0,2023/4/21,0.00001059,0.00001117 ,0.00001069,0.00001003,0.00001029
66,2023/4/22,0.00001029,0.00001086 ,0.00001050,0.00001016,0.00001046
88,2023/4/23,0.00001046,0.00001104 ,0.00001047,0.00001006,0.00001032
88,2023/4/24,0.00001032,0.00001089 ,0.00001042,0.00001011,0.00001027
44,2023/4/25,0.00001027,0.00001083 ,0.00001044,0.00001008,0.00001036
22,2023/4/26,0.00001036,0.00001093 ,0.00001075,0.00000972,0.00001017
44,2023/4/27,0.00001016,0.00001072 ,0.00001039,0.00001014,0.00001027
22,2023/4/28,0.00001027,0.00001083 ,0.00001031,0.00001009,0.00001024
0,2023/4/29,0.00001024,0.00001080 ,0.00001037,0.00001018,0.00001030
0,2023/4/30,0.00001029,0.00001086 ,0.00001031,0.00001002,0.00001007
44,2023/5/1,0.00001008,0.00001063 ,0.00001012,0.00000974,0.00000996
0,2023/5/2,0.00000996,0.00001051 ,0.00001012,0.00000985,0.00001001
66,2023/5/3,0.00001001,0.00001056 ,0.00001020,0.00000981,0.00001011
22,2023/5/4,0.00001012,0.00001068 ,0.00001013,0.00000987,0.00000989
22,2023/5/5,0.00000989,0.00001043 ,0.00001004,0.00000976,0.00000999
0,2023/5/6,0.00000999,0.00001054 ,0.00001005,0.00000918,0.00000945
44,2023/5/7,0.00000945,0.00000997 ,0.00000954,0.00000930,0.00000934
330,2023/5/8,0.00000934,0.00000985 ,0.00000936,0.00000832,0.00000892
154,2023/5/9,0.00000891,0.00000940 ,0.00000903,0.00000870,0.00000900
528,2023/5/10,0.00000899,0.00000948 ,0.00000914,0.00000861,0.00000899
66,2023/5/11,0.00000899,0.00000948 ,0.00000901,0.00000851,0.00000868
67,2023/5/12,0.00000868,0.00000916 ,0.00000885,0.00000845,0.00000884
66,2023/5/13,0.00000884,0.00000933 ,0.00000885,0.00000866,0.00000872
44,2023/5/14,0.00000872,0.00000920 ,0.00000888,0.00000864,0.00000879
110,2023/5/15,0.00000878,0.00000926 ,0.00000892,0.00000865,0.00000879
44,2023/5/16,0.00000879,0.00000927 ,0.00000883,0.00000867,0.00000877
22,2023/5/17,0.00000878,0.00000926 ,0.00000885,0.00000858,0.00000877
22,2023/5/18,0.00000877,0.00000925 ,0.00000883,0.00000848,0.00000870
22,2023/5/19,0.00000870,0.00000918 ,0.00000874,0.00000864,0.00000867
88,2023/5/20,0.00000868,0.00000916 ,0.00000877,0.00000863,0.00000872
22,2023/5/21,0.00000872,0.00000920 ,0.00000876,0.00000847,0.00000852
22,2023/5/22,0.00000852,0.00000899 ,0.00000902,0.00000841,0.00000879
44,2023/5/23,0.00000878,0.00000926 ,0.00000918,0.00000878,0.00000890
88,2023/5/24,0.00000890,0.00000939 ,0.00000890,0.00000839,0.00000850
